,id,full_name,first_name,last_name,is_active
261,1630548,Johnny Juzang,Johnny,Juzang,True
262,1629662,Mfiondu Kabengele,Mfiondu,Kabengele,True
263,1626163,Frank Kaminsky,Frank,Kaminsky,True
264,1631211,Trevor Keels,Trevor,Keels,True
265,1628379,Luke Kennard,Luke,Kennard,True
266,1631117,Walker Kessler,Walker,Kessler,True
267,1630296,Braxton Key,Braxton,Key,True
268,1629663,Louis King,Louis,King,True
269,1630557,Corey Kispert,Corey,Kispert,True
270,1628467,Maxi Kleber,Maxi,Kleber,True
271,1630233,Nathan Knight,Nathan,Knight,True
272,1628995,Kevin Knox II,Kevin,Knox II,True
273,1631132,Christian Koloko,Christian,Koloko,True
274,1629723,John Konchar,John,Konchar,True
275,1627788,Furkan Korkmaz,Furkan,Korkmaz,True
276,1628436,Luke Kornet,Luke,Kornet,True
277,1630249,Vit Krejci,Vit,Krejci,True
278,1630228,Jonathan Kuminga,Jonathan,Kuminga,True
279,1628398,Kyle Kuzma,Kyle,Kuzma,True
280,1631222,Jake LaRavia,Jake,LaRavia,True
281,203897,Zach LaVine,Zach,LaVine,True
282,1630237,Anthony Lamb,Anthony,Lamb,True
283,1629111,Jock Landale,Jock,Landale,True
284,1629641,Romeo Langford,Romeo,Langford,True
285,1630639,A.J. Lawson,A.J.,Lawson,True
286,1627747,Caris LeVert,Caris,LeVert,True
287,1627814,Damion Lee,Damion,Lee,True
288,1630240,Saben Lee,Saben,Lee,True
289,203458,Alex Len,Alex,Len,True
290,202695,Kawhi Leonard,Kawhi,Leonard,True
291,203086,Meyers Leonard,Meyers,Leonard,True
292,1631171,Justin Lewis,Justin,Lewis,True
293,1630184,Kira Lewis Jr.,Kira,Lewis Jr.,True
294,1630604,E.J. Liddell,E.J.,Liddell,True
295,203081,Damian Lillard,Damian,Lillard,True
296,1629642,Nassir Little,Nassir,Little,True
297,1630587,Isaiah Livers,Isaiah,Livers,True
298,1631254,Kenneth Lofton Jr.,Kenneth,Lofton Jr.,True
299,1626172,Kevon Looney,Kevon,Looney,True
300,201572,Brook Lopez,Brook,Lopez,True
301,201577,Robin Lopez,Robin,Lopez,True
302,201567,Kevin Love,Kevin,Love,True
303,200768,Kyle Lowry,Kyle,Lowry,True
304,1626168,Trey Lyles,Trey,Lyles,True
305,1630177,Theo Maledon,Theo,Maledon,True
306,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,True
307,1629611,Terance Mann,Terance,Mann,True
308,1630544,Tre Mann,Tre,Mann,True
309,1626246,Boban Marjanovic,Boban,Marjanovic,True
310,1628374,Lauri Markkanen,Lauri,Markkanen,True
311,1630230,Naji Marshall,Naji,Marshall,True
312,1628997,Caleb Martin,Caleb,Martin,True
313,1628998,Cody Martin,Cody,Martin,True
314,1631213,Tyrese Martin,Tyrese,Martin,True
315,1630231,Kenyon Martin Jr.,Kenyon,Martin Jr.,True
316,1629726,Garrison Mathews,Garrison,Mathews,True
317,1631097,Bennedict Mathurin,Bennedict,Mathurin,True
318,202083,Wesley Matthews,Wesley,Matthews,True
319,1630178,Tyrese Maxey,Tyrese,Maxey,True
320,1630540,Miles McBride,Miles,McBride,True
321,1630644,Mac McClung,Mac,McClung,True
322,203468,CJ McCollum,CJ,McCollum,True
323,204456,T.J. McConnell,T.J.,McConnell,True
324,1630183,Jaden McDaniels,Jaden,McDaniels,True
325,1629667,Jalen McDaniels,Jalen,McDaniels,True
